NOM PDV,ADRESSE PDV,LOCALISATION
chez aliwiss,cité mixta,"17°27'20.16""W  14°44'57.83""N"
Alimentation Dos Santos,cite mixta,"17°27'23.81""W  14°44'53.62""N"
chez gerome,hlm grand medine,"17°27'1.76""W  14°45'36.53""N"
Alimentation Espace Fraicheur,en face Sangomar,"17°27'0.04""W  14°45'31.24""N"
Bar le sangomar,grand medine,"17°27'0.54""W  14°45'31.54""N"
mére thérésa,hlm grand médine,"17°27'7.48""W  14°45'28.59""N"
Kadjindiassa,parcelle unité 26,"17°25'15.69""W  14°46'21.40""N"
alimentation chez  michelle,parcelle unité 24,"17°27'2.81""W  14°39'5.27""N"
Alimentation  Avi Sougou,Dior en face station total,"17°26'51.52""W  14°45'29.74""N"
Bar 2000,parcelle unité 11 derrière Stade,"17°26'8.87""W  14°45'28.06""N"
chez cocote,hlm grand medine,"17°27'1.48""W  14°45'42.03""N"
Chez Modou,parcelle unité 21,"17°26'41.22""W  14°45'20.51""N"
Alimentation  chez petit,parcelle unité,"17°26'29.96""W  14°44'54.67""N"
alimentation la source,parcelle cité soprim,"17°26'8.80""W  14°45'3.32""N"
Chez Lamine,parcelle unité 8,"17°25'55.61""W  14°45'17.57""N"
chez paul,parcelle unité 22,"16°24'9.90""W  14°20'30.59""N"
epicerie ndiago,parcelle unité 18 numero 545,"17°26'23.33""W  14°45'12.50""N"
Chez Penc,parcelle unité 11 coté stade,"17°26'8.61""W  14°45'31.90""N"
Bar Chez Joe,parcelle unité 6,"17°22'7.46""W  14°46'42.05""N"
Alimentation Jean Pierre Mendy,golf,"17°25'9.10""W  14°45'51.25""N"
BAR ÉMILIE,quartier,"17°19'53.71""W  14°47'23.19""N"
BAR RESTO CATOR,Quartier ndiago,"17°19'49.21""W  14°47'22.47""N"
BAR CHEZ PA TONY,Quartier ndiago,"17°19'50.92""W  14°47'23.48""N"
ALIMENTATION CHEZ LAZARD 2,Quartier,"17°19'50.80""W  14°47'20.06""N"
BAR BAKASSA,Quartier,"17°19'51.75""W  14°47'18.82""N"
ALIMENTARION THIABO,Quartier,"17°19'52.15""W  14°47'16.36""N"
NEVER DIE BAR CHEZ FRANÇOIS,Quartier ndiago,"17°19'50.46""W  14°47'15.18""N"
SAKAYA MALIKA,Quartier,"17°19'54.26""W  14°47'15.78""N"
ALIMENTATION PAUL MENDY,quartier ndiago,"17°19'52.55""W  14°47'17.74""N"
ALIMENTATION CHEZ LAZARD,quartier ndiago,"17°19'51.69""W  14°47'18.79""N"
ALIMENTATION CHEZ LAURENT,après police malika,"17°20'22.88""W  14°48'12.83""N"
BAR FOUGON 2,malika montagne,"17°19'44.24""W  14°47'31.27""N"
BAR ROUK BI,avant local,"17°21'7.92""W  14°47'3.58""N"
BAR LOCAL BÈN BARAK,BÈN BARAK,"17°21'10.68""W  14°46'59.45""N"
ALIMENTATION VICTOR GOMIS 2,Staton yeumbeul,"17°21'32.38""W  14°46'35.38""N"
ALIMENTATION CHEZ JEAN GABIN,Golf,"17°24'38.02""W  14°46'3.70""N"
